product,year,scenario,region,pct_change
aggregated,2022,Median,Kakheti,-1.7316979005084647
aggregated,2022,Warm/Wet,Kakheti,-1.6254719780628903
aggregated,2022,Hot/Dry,Kvemo Kartli,-1.0440193311101496
aggregated,2022,Median,Kvemo Kartli,-1.354136519338212
aggregated,2022,Warm/Wet,Kvemo Kartli,-1.0243954511422686
aggregated,2022,Hot/Dry,Mtskheta-Mtianeti,-0.3546653166721967
aggregated,2022,Median,Mtskheta-Mtianeti,-0.37793729239896834
aggregated,2022,Warm/Wet,Mtskheta-Mtianeti,-0.34488774524749033
aggregated,2022,Hot/Dry,Racha-Lechkhumi-Kvemo Svaneti,-0.3425214406825461
aggregated,2022,Median,Racha-Lechkhumi-Kvemo Svaneti,-0.3394500739240556
aggregated,2022,Warm/Wet,Racha-Lechkhumi-Kvemo Svaneti,-0.3313800350840381
aggregated,2022,Hot/Dry,Samegrelo-Zemo Svaneti,-0.9640980515235356
aggregated,2022,Median,Samegrelo-Zemo Svaneti,-0.8635185850207847
aggregated,2022,Warm/Wet,Samegrelo-Zemo Svaneti,-0.920106038320057
aggregated,2022,Hot/Dry,Samtskhe-Javakheti,-0.4463661527741749
aggregated,2022,Median,Samtskhe-Javakheti,-0.4139867210858057
aggregated,2022,Warm/Wet,Samtskhe-Javakheti,-0.42334810342588014
aggregated,2022,Hot/Dry,Shida Kartli,-0.4618111447189506
aggregated,2022,Median,Shida Kartli,-0.47640236803367486
aggregated,2022,Warm/Wet,Shida Kartli,-0.42870802497790805
aggregated,2022,Hot/Dry,Tbilisi,-0.9274148398080087
aggregated,2022,Median,Tbilisi,-1.2145684823911154
aggregated,2022,Warm/Wet,Tbilisi,-1.3141109287384296
aggregated,2023,Hot/Dry,Abkhazia,
aggregated,2023,Median,Abkhazia,
aggregated,2023,Warm/Wet,Abkhazia,
aggregated,2023,Hot/Dry,Ajaria,-1.440730334122179
aggregated,2023,Median,Ajaria,-1.3596896859525884
aggregated,2023,Warm/Wet,Ajaria,-0.9023403675867314
aggregated,2023,Hot/Dry,Guria,-5.502489402630687
aggregated,2023,Median,Guria,-5.574651019856233
aggregated,2023,Warm/Wet,Guria,-3.9974017548812384
aggregated,2023,Hot/Dry,Imereti,-3.1675536952497936
aggregated,2023,Median,Imereti,-3.1426819790242746
aggregated,2023,Warm/Wet,Imereti,-2.1996951894161754
aggregated,2023,Hot/Dry,Kakheti,-1.191098366478883
aggregated,2023,Median,Kakheti,-1.447314970888712
aggregated,2023,Warm/Wet,Kakheti,-1.0269393841407037
aggregated,2023,Hot/Dry,Kvemo Kartli,-1.1154051183044658
aggregated,2023,Median,Kvemo Kartli,-1.6214508745929663
aggregated,2023,Warm/Wet,Kvemo Kartli,-0.7201274964915427
aggregated,2023,Hot/Dry,Mtskheta-Mtianeti,-0.3361725009089014
aggregated,2023,Median,Mtskheta-Mtianeti,-0.34365094007520725
aggregated,2023,Warm/Wet,Mtskheta-Mtianeti,-0.32960218967630794
aggregated,2023,Hot/Dry,Racha-Lechkhumi-Kvemo Svaneti,-0.3255993136145605
aggregated,2023,Median,Racha-Lechkhumi-Kvemo Svaneti,-0.3727529778349492
aggregated,2023,Warm/Wet,Racha-Lechkhumi-Kvemo Svaneti,-0.31538140298343365
aggregated,2023,Hot/Dry,Samegrelo-Zemo Svaneti,-1.0241171697875444
aggregated,2023,Median,Samegrelo-Zemo Svaneti,-1.0336633761229592
aggregated,2023,Warm/Wet,Samegrelo-Zemo Svaneti,-0.8390439625449773
aggregated,2023,Hot/Dry,Samtskhe-Javakheti,-0.44340312558877315
aggregated,2023,Median,Samtskhe-Javakheti,-0.4911788127435841
aggregated,2023,Warm/Wet,Samtskhe-Javakheti,-0.4170721491758371
aggregated,2023,Hot/Dry,Shida Kartli,-0.4612317088519262
aggregated,2023,Median,Shida Kartli,-0.5156246673171836
aggregated,2023,Warm/Wet,Shida Kartli,-0.34762272355747825
aggregated,2023,Hot/Dry,Tbilisi,-1.134752938849573
aggregated,2023,Median,Tbilisi,-0.9050186882776359
aggregated,2023,Warm/Wet,Tbilisi,-0.6162607960078077
aggregated,2024,Hot/Dry,Abkhazia,
aggregated,2024,Median,Abkhazia,
aggregated,2024,Warm/Wet,Abkhazia,
aggregated,2024,Hot/Dry,Ajaria,-3.0254117750731666
aggregated,2024,Median,Ajaria,-0.7691768925318598
aggregated,2024,Warm/Wet,Ajaria,-1.8005064510529252
aggregated,2024,Hot/Dry,Guria,-10.463673491631027
aggregated,2024,Median,Guria,-2.857864992552649
aggregated,2024,Warm/Wet,Guria,-6.641112789414791
aggregated,2024,Hot/Dry,Imereti,-6.162766009491492
aggregated,2024,Median,Imereti,-1.830805582442494
aggregated,2024,Warm/Wet,Imereti,-3.5367803220958507
aggregated,2024,Hot/Dry,Kakheti,-2.6443973316645497
aggregated,2024,Median,Kakheti,-1.155604517560505
aggregated,2024,Warm/Wet,Kakheti,-1.6431900312585555
aggregated,2024,Hot/Dry,Kvemo Kartli,-2.266009446663759
aggregated,2024,Median,Kvemo Kartli,-0.6507748553068069
aggregated,2024,Warm/Wet,Kvemo Kartli,-1.1219106134769703
aggregated,2024,Hot/Dry,Mtskheta-Mtianeti,-0.4503377653708185
aggregated,2024,Median,Mtskheta-Mtianeti,-0.32054006474399444
aggregated,2024,Warm/Wet,Mtskheta-Mtianeti,-0.34860752248818017
aggregated,2024,Hot/Dry,Racha-Lechkhumi-Kvemo Svaneti,-0.6369703772531068
aggregated,2024,Median,Racha-Lechkhumi-Kvemo Svaneti,-0.3021738029605956
aggregated,2024,Warm/Wet,Racha-Lechkhumi-Kvemo Svaneti,-0.35576233384624345
aggregated,2024,Hot/Dry,Samegrelo-Zemo Svaneti,-2.2961360415468306
aggregated,2024,Median,Samegrelo-Zemo Svaneti,-0.6703669389360982
aggregated,2024,Warm/Wet,Samegrelo-Zemo Svaneti,-1.2056434578404662
aggregated,2024,Hot/Dry,Samtskhe-Javakheti,-0.781448748180722
aggregated,2024,Median,Samtskhe-Javakheti,-0.3622852576755946
aggregated,2024,Warm/Wet,Samtskhe-Javakheti,-0.4501852803283555
aggregated,2024,Hot/Dry,Shida Kartli,-0.9975749444539019
aggregated,2024,Median,Shida Kartli,-0.3713446824007889
aggregated,2024,Warm/Wet,Shida Kartli,-0.43106727543714385
aggregated,2024,Hot/Dry,Tbilisi,-3.0660914267948414
aggregated,2024,Median,Tbilisi,-0.6729447408884113
aggregated,2024,Warm/Wet,Tbilisi,-1.0882267214877714
aggregated,2025,Hot/Dry,Abkhazia,
aggregated,2025,Median,Abkhazia,
aggregated,2025,Warm/Wet,Abkhazia,
aggregated,2025,Hot/Dry,Ajaria,-3.230293590972977
aggregated,2025,Median,Ajaria,-1.2005235665200331
aggregated,2025,Warm/Wet,Ajaria,-1.7862087136136182
aggregated,2025,Hot/Dry,Guria,-11.100178047963269
aggregated,2025,Median,Guria,-5.545690982410662
aggregated,2025,Warm/Wet,Guria,-6.456118909329518
aggregated,2025,Hot/Dry,Imereti,-5.927013245303613
aggregated,2025,Median,Imereti,-3.1962597945737343
aggregated,2025,Warm/Wet,Imereti,-2.955136558479893
aggregated,2025,Hot/Dry,Kakheti,-1.8888579853697536
aggregated,2025,Median,Kakheti,-1.2900586375475598
aggregated,2025,Warm/Wet,Kakheti,-1.246748417681772
aggregated,2025,Hot/Dry,Kvemo Kartli,-1.8482600649377048
aggregated,2025,Median,Kvemo Kartli,-1.3607119632726778
aggregated,2025,Warm/Wet,Kvemo Kartli,-1.019678473921303
aggregated,2025,Hot/Dry,Mtskheta-Mtianeti,-0.5251753216598161
aggregated,2025,Median,Mtskheta-Mtianeti,-0.3380293515744768
aggregated,2025,Warm/Wet,Mtskheta-Mtianeti,-0.34967647599879115
aggregated,2025,Hot/Dry,Racha-Lechkhumi-Kvemo Svaneti,-0.691458300449824
aggregated,2025,Median,Racha-Lechkhumi-Kvemo Svaneti,-0.3563568193665674
aggregated,2025,Warm/Wet,Racha-Lechkhumi-Kvemo Svaneti,-0.3899758465997394
aggregated,2025,Hot/Dry,Samegrelo-Zemo Svaneti,-2.750199906602461
aggregated,2025,Median,Samegrelo-Zemo Svaneti,-1.1482167924191913
aggregated,2025,Warm/Wet,Samegrelo-Zemo Svaneti,-1.1920108174254125
aggregated,2025,Hot/Dry,Samtskhe-Javakheti,-0.748963360888041
aggregated,2025,Median,Samtskhe-Javakheti,-0.5258615661810353
aggregated,2025,Warm/Wet,Samtskhe-Javakheti,-0.4648536583157892
aggregated,2025,Hot/Dry,Shida Kartli,-0.8000081724201777
aggregated,2025,Median,Shida Kartli,-0.5022149550688084
aggregated,2025,Warm/Wet,Shida Kartli,-0.45253867757544697
aggregated,2025,Hot/Dry,Tbilisi,-1.6863615215460754
aggregated,2025,Median,Tbilisi,-1.3838218596078207
aggregated,2025,Warm/Wet,Tbilisi,-1.1865531637323983
aggregated,2026,Hot/Dry,Abkhazia,
aggregated,2026,Median,Abkhazia,
aggregated,2026,Warm/Wet,Abkhazia,
aggregated,2026,Hot/Dry,Ajaria,-4.234251004309087
aggregated,2026,Median,Ajaria,-1.1668069198380806
aggregated,2026,Warm/Wet,Ajaria,-1.6748841078804446
aggregated,2026,Hot/Dry,Guria,-13.057938480928357
aggregated,2026,Median,Guria,-4.413716066911633
aggregated,2026,Warm/Wet,Guria,-6.5044499935861495
aggregated,2026,Hot/Dry,Imereti,-7.3473210567913725
aggregated,2026,Median,Imereti,-3.273569244843742
aggregated,2026,Warm/Wet,Imereti,-3.4768715095471094
aggregated,2026,Hot/Dry,Kakheti,-3.06565171723544
aggregated,2026,Median,Kakheti,-2.0665812283497615
aggregated,2026,Warm/Wet,Kakheti,-1.2005130582143266
aggregated,2026,Hot/Dry,Kvemo Kartli,-2.4993283905575794
aggregated,2026,Median,Kvemo Kartli,-1.5585775650576323
aggregated,2026,Warm/Wet,Kvemo Kartli,-0.9925413260890679
aggregated,2026,Hot/Dry,Mtskheta-Mtianeti,-0.5375971212987167
aggregated,2026,Median,Mtskheta-Mtianeti,-0.4179507287524018
aggregated,2026,Warm/Wet,Mtskheta-Mtianeti,-0.3486688941428895
aggregated,2026,Hot/Dry,Racha-Lechkhumi-Kvemo Svaneti,-0.9773606279431704
aggregated,2026,Median,Racha-Lechkhumi-Kvemo Svaneti,-0.3067063576201434
aggregated,2026,Warm/Wet,Racha-Lechkhumi-Kvemo Svaneti,-0.3951258723198663
aggregated,2026,Hot/Dry,Samegrelo-Zemo Svaneti,-3.571894698662689
aggregated,2026,Median,Samegrelo-Zemo Svaneti,-0.8770113233925656
aggregated,2026,Warm/Wet,Samegrelo-Zemo Svaneti,-1.488564688561567
aggregated,2026,Hot/Dry,Samtskhe-Javakheti,-1.1229504909325527
aggregated,2026,Median,Samtskhe-Javakheti,-0.5126576786640555
aggregated,2026,Warm/Wet,Samtskhe-Javakheti,-0.4574756095576191
aggregated,2026,Hot/Dry,Shida Kartli,-1.1232190362391776
aggregated,2026,Median,Shida Kartli,-0.5177590692979379
aggregated,2026,Warm/Wet,Shida Kartli,-0.4834305664210632
aggregated,2026,Hot/Dry,Tbilisi,-2.790428955785572
aggregated,2026,Median,Tbilisi,-1.9511904937775597
aggregated,2026,Warm/Wet,Tbilisi,-1.0855236682007359
aggregated,2027,Hot/Dry,Abkhazia,
aggregated,2027,Median,Abkhazia,
aggregated,2027,Warm/Wet,Abkhazia,
aggregated,2027,Hot/Dry,Ajaria,-3.0461015533585964
aggregated,2027,Median,Ajaria,-1.3947883711309856
aggregated,2027,Warm/Wet,Ajaria,-1.6411888851304326
aggregated,2027,Hot/Dry,Guria,-8.162111961393421
aggregated,2027,Median,Guria,-4.897650807340497
aggregated,2027,Warm/Wet,Guria,-6.759597592805221
aggregated,2027,Hot/Dry,Imereti,-4.934574264085967
aggregated,2027,Median,Imereti,-2.6339533594413496
aggregated,2027,Warm/Wet,Imereti,-3.2844219281457043
aggregated,2027,Hot/Dry,Kakheti,-2.0146483840125455
aggregated,2027,Median,Kakheti,-1.4894062889581363
aggregated,2027,Warm/Wet,Kakheti,-0.8936466675291257
aggregated,2027,Hot/Dry,Kvemo Kartli,-1.8687927260672978
aggregated,2027,Median,Kvemo Kartli,-1.0440958180288646
aggregated,2027,Warm/Wet,Kvemo Kartli,-1.0497446941231061
aggregated,2027,Hot/Dry,Mtskheta-Mtianeti,-0.5103392188752309
aggregated,2027,Median,Mtskheta-Mtianeti,-0.3490817970566411
aggregated,2027,Warm/Wet,Mtskheta-Mtianeti,-0.3523428085141518
aggregated,2027,Hot/Dry,Racha-Lechkhumi-Kvemo Svaneti,-0.5919292316204547
aggregated,2027,Median,Racha-Lechkhumi-Kvemo Svaneti,-0.30021865289779726
aggregated,2027,Warm/Wet,Racha-Lechkhumi-Kvemo Svaneti,-0.3175346887159378
aggregated,2027,Hot/Dry,Samegrelo-Zemo Svaneti,-2.0987555573451573
aggregated,2027,Median,Samegrelo-Zemo Svaneti,-1.1454500051318064
aggregated,2027,Warm/Wet,Samegrelo-Zemo Svaneti,-1.375699988804385
aggregated,2027,Hot/Dry,Samtskhe-Javakheti,-0.7687865078396925
aggregated,2027,Median,Samtskhe-Javakheti,-0.4223504714242381
aggregated,2027,Warm/Wet,Samtskhe-Javakheti,-0.4289107815283302
aggregated,2027,Hot/Dry,Shida Kartli,-0.8996148511496926
aggregated,2027,Median,Shida Kartli,-0.4313774179046419
aggregated,2027,Warm/Wet,Shida Kartli,-0.439565375858308
aggregated,2027,Hot/Dry,Tbilisi,-2.238753679518709
aggregated,2027,Median,Tbilisi,-0.955133491921714
aggregated,2027,Warm/Wet,Tbilisi,-0.7721982964586402
aggregated,2028,Hot/Dry,Abkhazia,
aggregated,2028,Median,Abkhazia,
aggregated,2028,Warm/Wet,Abkhazia,
aggregated,2028,Hot/Dry,Ajaria,-2.726565413610473
aggregated,2028,Median,Ajaria,-1.0011955617798378
aggregated,2028,Warm/Wet,Ajaria,-1.4073153684803117
aggregated,2028,Hot/Dry,Guria,-8.578455210510597
aggregated,2028,Median,Guria,-3.9511706124579433
aggregated,2028,Warm/Wet,Guria,-5.505148088604045
aggregated,2028,Hot/Dry,Imereti,-4.161442009566386
aggregated,2028,Median,Imereti,-2.2162966448488532
aggregated,2028,Warm/Wet,Imereti,-2.9219935801899055
aggregated,2028,Hot/Dry,Kakheti,-1.7016988578974122
aggregated,2028,Median,Kakheti,-1.14741917343801
aggregated,2028,Warm/Wet,Kakheti,-1.4798363139081516
aggregated,2028,Hot/Dry,Kvemo Kartli,-1.522798504902525
aggregated,2028,Median,Kvemo Kartli,-0.872794399913758
aggregated,2028,Warm/Wet,Kvemo Kartli,-0.8104649385749667
aggregated,2028,Hot/Dry,Mtskheta-Mtianeti,-0.4402563602752423
aggregated,2028,Median,Mtskheta-Mtianeti,-0.34051723191342376
aggregated,2028,Warm/Wet,Mtskheta-Mtianeti,-0.3532214145328396
aggregated,2028,Hot/Dry,Racha-Lechkhumi-Kvemo Svaneti,-0.4652093154897301
aggregated,2028,Median,Racha-Lechkhumi-Kvemo Svaneti,-0.29025216772633655
aggregated,2028,Warm/Wet,Racha-Lechkhumi-Kvemo Svaneti,-0.3680017762941503
aggregated,2028,Hot/Dry,Samegrelo-Zemo Svaneti,-1.8117398074705306
aggregated,2028,Median,Samegrelo-Zemo Svaneti,-1.000501017694944
aggregated,2028,Warm/Wet,Samegrelo-Zemo Svaneti,-1.1676742356135321
aggregated,2028,Hot/Dry,Samtskhe-Javakheti,-0.5531881066680739
aggregated,2028,Median,Samtskhe-Javakheti,-0.3845161702028719
aggregated,2028,Warm/Wet,Samtskhe-Javakheti,-0.41421903374258306
aggregated,2028,Hot/Dry,Shida Kartli,-0.5233672760019203
aggregated,2028,Median,Shida Kartli,-0.3874858861746162
aggregated,2028,Warm/Wet,Shida Kartli,-0.49101178248936606
aggregated,2028,Hot/Dry,Tbilisi,-1.418376626837059
aggregated,2028,Median,Tbilisi,-0.8069113890975359
aggregated,2028,Warm/Wet,Tbilisi,-0.9503121069509461
aggregated,2029,Hot/Dry,Abkhazia,
aggregated,2029,Median,Abkhazia,
aggregated,2029,Warm/Wet,Abkhazia,
aggregated,2029,Hot/Dry,Ajaria,-5.207666636238216
aggregated,2029,Median,Ajaria,-1.0899716185692796
aggregated,2029,Warm/Wet,Ajaria,-2.0829424873409863
aggregated,2029,Hot/Dry,Guria,-15.517542562941472
aggregated,2029,Median,Guria,-4.859998438715422
aggregated,2029,Warm/Wet,Guria,-8.72537645928243
aggregated,2029,Hot/Dry,Imereti,-10.142465483087676
aggregated,2029,Median,Imereti,-3.58211187553961
aggregated,2029,Warm/Wet,Imereti,-4.062103054865233
aggregated,2029,Hot/Dry,Kakheti,-5.1675458676947414
aggregated,2029,Median,Kakheti,-3.228184458834505
aggregated,2029,Warm/Wet,Kakheti,-1.7978418104352727
aggregated,2029,Hot/Dry,Kvemo Kartli,-4.288777843564745
aggregated,2029,Median,Kvemo Kartli,-2.575862171515368
aggregated,2029,Warm/Wet,Kvemo Kartli,-1.2523381795868431
aggregated,2029,Hot/Dry,Mtskheta-Mtianeti,-0.9766402225849617
aggregated,2029,Median,Mtskheta-Mtianeti,-0.5383739735129041
aggregated,2029,Warm/Wet,Mtskheta-Mtianeti,-0.35955114816630385
aggregated,2029,Hot/Dry,Racha-Lechkhumi-Kvemo Svaneti,-1.5361168193432775
aggregated,2029,Median,Racha-Lechkhumi-Kvemo Svaneti,-0.5376248180113095
aggregated,2029,Warm/Wet,Racha-Lechkhumi-Kvemo Svaneti,-0.3567004648951695
aggregated,2029,Hot/Dry,Samegrelo-Zemo Svaneti,-4.827018437405414
aggregated,2029,Median,Samegrelo-Zemo Svaneti,-1.2524535852860055
aggregated,2029,Warm/Wet,Samegrelo-Zemo Svaneti,-1.5944672036055039
aggregated,2029,Hot/Dry,Samtskhe-Javakheti,-1.4098970862259819
aggregated,2029,Median,Samtskhe-Javakheti,-0.6007822165638714
aggregated,2029,Warm/Wet,Samtskhe-Javakheti,-0.5021191480795437
aggregated,2029,Hot/Dry,Shida Kartli,-2.0336765566062383
aggregated,2029,Median,Shida Kartli,-0.9345178580168891
aggregated,2029,Warm/Wet,Shida Kartli,-0.508538714596483
aggregated,2029,Hot/Dry,Tbilisi,-5.772052219993228
aggregated,2029,Median,Tbilisi,-3.179765966212514
aggregated,2029,Warm/Wet,Tbilisi,-1.0261570296743088
aggregated,2030,Hot/Dry,Abkhazia,
aggregated,2030,Median,Abkhazia,
aggregated,2030,Warm/Wet,Abkhazia,
aggregated,2030,Hot/Dry,Ajaria,-2.3791096953583803
aggregated,2030,Median,Ajaria,-1.8440016133055508
aggregated,2030,Warm/Wet,Ajaria,-2.3637230895263173
aggregated,2030,Hot/Dry,Guria,-9.610240851200729
aggregated,2030,Median,Guria,-7.5419750990060095
aggregated,2030,Warm/Wet,Guria,-7.824381622481056
aggregated,2030,Hot/Dry,Imereti,-4.824993167888579
aggregated,2030,Median,Imereti,-5.508053570780135
aggregated,2030,Warm/Wet,Imereti,-5.0640365395022116
aggregated,2030,Hot/Dry,Kakheti,-2.194537461239605
aggregated,2030,Median,Kakheti,-4.908538964726503
aggregated,2030,Warm/Wet,Kakheti,-3.2777143452423587
aggregated,2030,Hot/Dry,Kvemo Kartli,-1.1375469966825307
aggregated,2030,Median,Kvemo Kartli,-3.4661820515925257
aggregated,2030,Warm/Wet,Kvemo Kartli,-2.4473211813698157
aggregated,2030,Hot/Dry,Mtskheta-Mtianeti,-0.3505679400069823
aggregated,2030,Median,Mtskheta-Mtianeti,-0.8145981364525312
aggregated,2030,Warm/Wet,Mtskheta-Mtianeti,-0.5083795106678508
aggregated,2030,Hot/Dry,Racha-Lechkhumi-Kvemo Svaneti,-0.5784868474278966
aggregated,2030,Median,Racha-Lechkhumi-Kvemo Svaneti,-0.7216370364025266
aggregated,2030,Warm/Wet,Racha-Lechkhumi-Kvemo Svaneti,-0.7419156113655276
aggregated,2030,Hot/Dry,Samegrelo-Zemo Svaneti,-2.4645600717472576
aggregated,2030,Median,Samegrelo-Zemo Svaneti,-1.9912389941008968
aggregated,2030,Warm/Wet,Samegrelo-Zemo Svaneti,-1.9652148789470942
aggregated,2030,Hot/Dry,Samtskhe-Javakheti,-0.5446491223827081
aggregated,2030,Median,Samtskhe-Javakheti,-0.7803029836953357
aggregated,2030,Warm/Wet,Samtskhe-Javakheti,-0.8682083487291976
aggregated,2030,Hot/Dry,Shida Kartli,-0.7375704969985009
aggregated,2030,Median,Shida Kartli,-1.1550514355866142
aggregated,2030,Warm/Wet,Shida Kartli,-1.0808796875632396
aggregated,2030,Hot/Dry,Tbilisi,-1.3753668369751608
aggregated,2030,Median,Tbilisi,-4.513704853611046
aggregated,2030,Warm/Wet,Tbilisi,-2.740392738946994
aggregated,2031,Hot/Dry,Abkhazia,
aggregated,2031,Median,Abkhazia,
aggregated,2031,Warm/Wet,Abkhazia,
aggregated,2031,Hot/Dry,Ajaria,-3.7887653248647837
aggregated,2031,Median,Ajaria,-2.4443935481924797
aggregated,2031,Warm/Wet,Ajaria,-1.6974913357454682
aggregated,2031,Hot/Dry,Guria,-12.595885622260269
aggregated,2031,Median,Guria,-8.337022466186284
aggregated,2031,Warm/Wet,Guria,-8.357113352017222
aggregated,2031,Hot/Dry,Imereti,-8.61259891785653
aggregated,2031,Median,Imereti,-4.512345174015579
aggregated,2031,Warm/Wet,Imereti,-3.951302623835545
aggregated,2031,Hot/Dry,Kakheti,-5.863290849356758
aggregated,2031,Median,Kakheti,-3.0657871847942033
aggregated,2031,Warm/Wet,Kakheti,-2.308739003419376
aggregated,2031,Hot/Dry,Kvemo Kartli,-4.653575962947386
aggregated,2031,Median,Kvemo Kartli,-2.07662177751736
aggregated,2031,Warm/Wet,Kvemo Kartli,-1.2850371568572
aggregated,2031,Hot/Dry,Mtskheta-Mtianeti,-1.0408908157353665
aggregated,2031,Median,Mtskheta-Mtianeti,-0.4808040445346933
aggregated,2031,Warm/Wet,Mtskheta-Mtianeti,-0.3731377460019871
aggregated,2031,Hot/Dry,Racha-Lechkhumi-Kvemo Svaneti,-1.1535070159153804
aggregated,2031,Median,Racha-Lechkhumi-Kvemo Svaneti,-0.5484914269399042
